Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,Profit,ROMS
84,Cambridge,Massachusetts,Region 1,Old,2779,21286,18507,665.96
85,Greeley,Colorado,Region 2,Old,3277,48796,45519,1389.04
86,Gresham,Oregon,Region 2,Old,2745,19708,16963,617.96
87,Amarillo,Texas,Region 2,Old,3984,56089,52105,1307.86
88,High Point,North Carolina,Region 1,Old,3262,19752,16490,505.52
89,Vista,California,Region 2,Old,2718,20949,18231,670.75
90,Tacoma,Washington,Region 2,Old,2552,45666,43114,1689.42
91,Mesquite,Texas,Region 2,Old,3072,40779,37707,1227.44
92,Augusta,Georgia,Region 1,Old,2676,47482,44806,1674.36
93,Elgin,Illinois,Region 1,Old,2553,18215,15662,613.47
94,Aurora,Illinois,Region 1,Old,2685,50650,47965,1786.41
95,Gainesville,Florida,Region 1,Old,2990,48933,45943,1536.56
96,Dayton,Ohio,Region 1,Old,2805,42026,39221,1398.25
97,Wichita Falls,Texas,Region 2,Old,2846,15735,12889,452.88
98,Naperville,Illinois,Region 1,Old,2699,39856,37157,1376.7
99,Clovis,California,Region 2,Old,2901,20669,17768,612.48
100,Billings,Montana,Region 1,Old,3015,20541,17526,581.29
101,Surprise,Arizona,Region 2,Old,2160,33647,31487,1457.73
102,Coral Springs,Florida,Region 1,Old,3079,41319,38240,1241.96
103,Visalia,California,Region 2,Old,2104,45632,43528,2068.82
104,Killeen,Texas,Region 2,Old,2962,43773,40811,1377.82
105,Orange,California,Region 2,Old,2830,36821,33991,1201.1
106,Richardson,Texas,Region 2,Old,3228,22824,19596,607.06
107,South Bend,Indiana,Region 1,Old,3005,21953,18948,630.55
108,Fayetteville,North Carolina,Region 1,Old,3020,51229,48209,1596.32
109,Sioux Falls,South Dakota,Region 1,Old,2947,50583,47636,1616.42
110,Grand Prairie,Texas,Region 2,Old,3131,50895,47764,1525.52
111,Stamford,Connecticut,Region 1,Old,2901,46503,43602,1503.0
112,West Palm Beach,Florida,Region 1,Old,2926,18089,15163,518.22
113,Knoxville,Tennessee,Region 2,Old,3086,56504,53418,1730.98
114,Renton,Washington,Region 2,Old,2754,44635,41881,1520.73
115,McAllen,Texas,Region 2,Old,2282,43924,41642,1824.8
116,Woodbridge,New Jersey,Region 1,Old,3319,19811,16492,496.9
117,Shreveport,Louisiana,Region 1,Old,3081,56140,53059,1722.14
118,Bellevue,Washington,Region 2,Old,2542,40462,37920,1491.74
119,Huntington Beach,California,Region 2,Old,2527,54145,51618,2042.66
120,Santa Clarita,California,Region 2,Old,2967,51882,48915,1648.63
121,Sterling Heights,Michigan,Region 1,Old,2357,35022,32665,1385.87
122,Mobile,Alabama,Region 1,Old,2838,49290,46452,1636.79
123,Bridgeport,Connecticut,Region 1,Old,2914,47108,44194,1516.61
124,Daly City,California,Region 2,Old,2658,20703,18045,678.89
125,Rochester,Minnesota,Region 1,Old,2854,18099,15245,534.16
126,Sandy Springs,Georgia,Region 1,Old,2759,18942,16183,586.55
127,Cedar Rapids,Iowa,Region 1,Old,2553,52072,49519,1939.64
128,Columbus,Georgia,Region 1,Old,2877,55203,52326,1818.77
129,Moreno Valley,California,Region 2,Old,3507,59254,55747,1589.59
130,Pompano Beach,Florida,Region 1,Old,2608,21603,18995,728.34
131,Savannah,Georgia,Region 1,Old,2028,36029,34001,1676.58
132,West Jordan,Utah,Region 2,Old,2773,21056,18283,659.32
133,Des Moines,Iowa,Region 1,Old,2995,57432,54437,1817.6
134,Green Bay,Wisconsin,Region 1,Old,3586,18454,14868,414.61
135,Santa Rosa,California,Region 2,Old,3067,59060,55993,1825.66
136,San Mateo,California,Region 2,Old,1811,19426,17615,972.67
137,Warren,Michigan,Region 1,Old,2736,47262,44526,1627.41
138,Norwalk,California,Region 2,Old,3112,19703,16591,533.13
139,Lafayette,Louisiana,Region 1,Old,2603,40255,37652,1446.48
140,Providence,Rhode Island,Region 1,Old,3191,62337,59146,1853.53
141,Chattanooga,Tennessee,Region 2,New,3587,55357,51770,1443.27
142,Tempe,Arizona,Region 2,New,2911,48954,46043,1581.69
143,Joliet,Illinois,Region 1,New,3279,48315,45036,1373.47
144,Rancho Cucamonga,California,Region 2,New,2945,52366,49421,1678.13
145,Glendale,California,Region 2,New,2363,49376,47013,1989.55
146,Paterson,New Jersey,Region 1,New,2251,34603,32352,1437.23
147,Brownsville,Texas,Region 2,New,3675,63148,59473,1618.31
148,Rockford,Illinois,Region 1,New,2648,43377,40729,1538.1
149,College Station,Texas,Region 2,New,2994,22457,19463,650.07
150,Thousand Oaks,California,Region 2,New,2431,40141,37710,1551.21
